;The Renewal of Evangelion;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;Athena no Seinto;Gainax;10;renewalofeva.jpg;
;Fullmetal Alchemist ;serie;51;2 DVD;japones;espanol;HQ;MPEG-4;Shonen;AniXtasis;Hiromu Arakawa;10;fullmetalalchemist.jpg;
;Ghost in the Shell - Standalone Complex;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shonen;E.O.L.+ AniXtasis ;Masamune Shirow;;gits_standalone.jpg;
;Elfen Lied ;serie;14;1/2 DVD;japones;espanol;HQ;MPEG-4;Shojo?;Rakuen;;10;elfenlied.jpg;
;Happy Lesson & Happy Lesson Advance ;serie;24;1 DVD;japones;espanol;HQ;MPEG-4;Shojo;A & C + Meiji no Fansub;;8;happylesson_adv.jpg;
;Colorful;serie;16;1/2 DVD;japones;espanol;HQ;MPEG-4;Comedia;Kamonohashi no Fansub;;7;colorful.jpg;
;Jungle wa Itsumo Hale Nochi Guu;serie;26 + 13 ova;2 DVD;japones;espanol;HQ;MPEG-4;Comedia;Frozen Layer ;Renjuro Kindaichi;10;jungle.jpg
;Last Exile ;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Todo Publico;AniXtasis;;;lastexile.jpg
;This Ugly and Beautiful World (Kono Minikuku mo Utsukushii Sekai);serie;12;1/2 DVD;japones;espanol;HQ;MPEG-4;Shojo;AniXtasis;Ganax;8;Ugly_Beautiful.jpg
;Hanaukyo Maids Tai ~ LaVerite ;serie;12;1/2 DVD;japones;espanol;HQ;MPEG-4;Shojo;Frozen Layer - Meiji no Fansub ;;7;HMT_verite.jpg
;Yami to Boushi to Hon no Tabibito;serie;13;1/2 DVD;japones;espanol;HQ;MPEG-4;Shojo;AniXtasis;;5;yamitabi.jpg
;Comic Party ,Comic Party Revolution, Comic Party Specials ;serie;13 + 2 ova + 4 especiales;1 DVD;japones;ingles;MQ;MPEG-4;Todo Publico;Elite;;5;comicparty.jpg
;Star Ocean EX ;serie;26;1 DVD;japones;ingles;MQ;MPEG-4;Shonen;Soldats - BakaMX;;;starocean_ex.jpg
;Kiddi Grade;serie;24;1 DVD;japones;ingles;HQ;MPEG-4;Mecha;ANBY & Animekeep;;;kiddy.jpg
;Yumeria;serie;12;1/2 DVD;japones;ingles;HQ;MPEG-4;Shojo;Anime Junkies;;4;yumeria.jpg
;Midori no Hibi ;serie;13;1/2 DVD;japones;ingles;HQ;MPEG-4;Shojo;Seichi;;6;midorinohibi.jpg
;Fruits Basket ;serie;26;1 DVD;japones;espanol;HQ;MPEG-4;Shojo;Mangalords;;7;fruitsbasket.jpg
;Chrno Crusade ;serie;24;1 DVD;japones;espanol;HQ;MPEG-4;Shojo?;Vago;Daisuke Moriyama;9;chrno.jpg 
;Onegai Twins ;serie;12 + 1 ova;1/2 DVD;japones;espanol;HQ;MPEG-4;Shojo;Gokuraku;;8;onegaitwins.jpg
;Gunslinger Girl;serie;13;1/2 DVD;japones;espanol;HQ;MPEG-4;Shojo?;Meiji;;7;gunslinger.jpg
